RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
24,5,-74.179,0.0,4005092
25,5,-73.653,0.0,4005092
26,5,-72.3384,0.0,4005092
27,5,-75.4296,0.0,4005092
28,5,-72.8718,0.0,4005092
29,5,-71.9009,0.0,4004728
30,5,-71.166,0.0,4005092
31,5,-72.7913,0.0,4005456
32,5,-70.4283,0.0,4005456
33,5,-67.7788,0.0,4005456
34,5,-69.2954,0.0,4005092
35,5,-72.9474,0.0,4005092
36,5,-74.2969,0.0,4002544
37,5,-72.8469,0.0,4004728
38,5,-73.4565,0.0,4005092
39,5,-68.0358,0.0,4005092
40,5,-69.5252,0.0,4004000
41,5,-67.4071,0.0,4005092
42,5,-67.4323,0.0,4004728
43,5,-62.7221,0.0,4004728
44,5,-59.6407,0.0,4003636
45,5,-54.365,0.0,4005820
46,5,-51.8238,0.0,4001816
47,5,-53.0039,0.0,4005456
48,5,-53.8602,0.0,4003636
49,5,-55.0039,0.0,4005092
50,5,-58.9062,0.0,4005456
51,5,-66.1141,0.0,4004728
52,5,-68.5017,0.0,4003272
53,5,-64.8424,0.0,4005456
54,5,-71.293,0.0,4003636
55,5,-71.8956,0.0,4005092
56,5,-73.2714,0.0,4004728
57,5,-72.1801,0.0,4005092
58,5,-73.321,0.0,4003636
59,5,-73.5273,0.0,4004728
60,5,-75.0904,0.0,4004728
61,5,-74.1985,0.0,4005092
62,5,-74.8842,0.0,4004000
63,5,-73.8512,0.0,4005456
64,5,-74.9219,0.0,4003636
65,5,-72.2359,0.0,4006184
66,5,-66.0594,0.0,4005456
67,5,-60.6799,0.0,4005092
68,5,-60.6024,0.0,4002544
69,5,-64.0066,0.0,4005456
70,5,-68.4904,0.0,4002908
71,5,-72.0995,0.0,4005092
72,5,-71.117,0.0,4003636
73,5,-71.1957,0.0,4005092
74,5,-73.7091,0.0,4003272
75,5,-72.2038,0.0,4005456
76,5,-67.3371,0.0,4004364
77,5,-65.2563,0.0,4005092
78,5,-62.6018,0.0,4005092
79,5,-68.0149,0.0,4004728
80,5,-69.0326,0.0,4005456
81,5,-61.5204,0.0,4005092
82,5,-58.1419,0.0,4002544
83,5,-54.8706,0.0,4004728
84,5,-53.9702,0.0,4004364
85,5,-58.1092,0.0,4005092
86,5,-63.7794,0.0,4005456
87,5,-56.7653,0.0,4004728
88,5,-61.5575,0.0,4005092
89,5,-57.6163,0.0,4005092
90,5,-56.7685,0.0,4005092
91,5,-59.4955,0.0,4006184
92,5,-65.6347,0.0,4005092
93,5,-70.1564,0.0,4004728
94,5,-68.7688,0.0,4005456
95,5,-75.197,0.0,4005092
96,5,-74.5031,0.0,4005092
97,5,-74.1974,0.0,4004000
98,5,-74.5941,0.0,4005092
99,5,-73.7146,0.0,4004000
100,5,-73.5346,0.0,4005092
0,6,-73.4643,0.0,4005456
1,6,-74.2021,0.0,4005092
2,6,-71.0448,0.0,4005092
3,6,-67.0426,0.0,4005820
4,6,-67.5938,0.0,4005092
5,6,-68.7406,0.0,4005092
6,6,-70.1063,0.0,4005456
7,6,-73.6761,0.0,4004728
8,6,-71.3203,0.0,4005092
9,6,-72.614,0.0,4005456
10,6,-72.8647,0.0,4005092
11,6,-72.2462,0.0,4006184
12,6,-72.3176,0.0,4005092
13,6,-73.6378,0.0,4005092
14,6,-75.1296,0.0,4005456
15,6,-72.6149,0.0,4005092
16,6,-72.6143,0.0,4005820
17,6,-73.9618,0.0,4005092
18,6,-74.8377,0.0,4003272
19,6,-74.7512,0.0,4005092
20,6,-72.9138,0.0,4005092
21,6,-72.9178,0.0,4005092
22,6,-73.4801,0.0,4005456
23,6,-72.6145,0.0,4005092
24,6,-75.2461,0.0,4004728
25,6,-72.1452,0.0,4005820
26,6,-73.2256,0.0,4004728
27,6,-71.9661,0.0,4005456
28,6,-69.5805,0.0,4004728
29,6,-72.9709,0.0,4005456
30,6,-72.6555,0.0,4005456
31,6,-69.4421,0.0,4005092
32,6,-72.9429,0.0,4005092
33,6,-74.9503,0.0,4005820
34,6,-74.1066,0.0,4004364
35,6,-73.1742,0.0,4005092
36,6,-74.9873,0.0,4005092
37,6,-72.5672,0.0,4005092
38,6,-71.9495,0.0,4005456
39,6,-72.3458,0.0,4005092
40,6,-73.408,0.0,4005092
41,6,-70.6286,0.0,4001816
42,6,-68.9295,0.0,4005456
